source,source_id,title,company,location,latitude,longitude,url,listed,deadline,deadline_kind,first_seen,last_seen
studerendeonline,3108100,Finansbachelor eller finansøkonom til Jyske Hverdag - din vej til praktik- og traineeforløb,Jyske Bank,Storkøbenhavn,,,https://studerendeonline.dk/job/3108100/jyske-bank/finansbachelor-eller-finansokonom-til-jyske-hverdag-din-vej-til-praktik-og-traineeforlob/,2026-08-31,2026-09-30,date,2026-09-15,2026-09-15
studerendeonline,3108238,"Tech-studerende sgs: Automatisering, AI og crawling",Digital Disruption Media A/S,"Storkøbenhavn, Øresundsregionen",,,https://studerendeonline.dk/job/3108238/digital-disruption-media-as/tech-studerende-sgs-automatisering-ai-og-crawling/,2026-08-31,,asap,2026-09-15,2026-09-15
studerendeonline,3108298,Studiejob: Analytisk Marketingassistent,Cand,Storkøbenhavn,,,https://studerendeonline.dk/job/3108298/cand/studiejob-analytisk-marketingassistent/,2026-09-01,,asap,2026-09-15,2026-09-15
studerendeonline,3108299,Studiejob: Markedsanalyse & Forretningsudvikling,Cand,Storkøbenhavn,,,https://studerendeonline.dk/job/3108299/cand/studiejob-markedsanalyse-forretningsudvikling/,2026-08-31,,asap,2026-09-15,2026-09-15
studerendeonline,3108314,Customer Success Manager (Maternity Leave Cover),Bloom,Storkøbenhavn,,,https://studerendeonline.dk/job/3108314/bloom/customer-success-manager-maternity-leave-cover/,2026-08-31,,asap,2026-09-15,2026-09-15
studerendeonline,3108326,Engageret og serviceorienteret It-supporter (på deltid) - IT Service,Danmarks Tekniske Universitet,"Storkøbenhavn, Øresundsregionen",,,https://studerendeonline.dk/job/3108326/danmarks-tekniske-universitet/engageret-og-serviceorienteret-it-supporter-pa-deltid-it-service/,2026-08-31,2026-10-01,date,2026-09-15,2026-09-15
studerendeonline,3108359,Student Assistant - ORCA Labs,WS Audiology Denmark A/S,"Storkøbenhavn, Nordsjælland",,,https://studerendeonline.dk/job/3108359/ws-audiology-denmark-as/student-assistant-orca-labs/,2026-09-10,,asap,2026-09-15,2026-09-15
studerendeonline,3108384,Bliv studentermedhjælper i Virksomhedsanalyse,Nykredit,Storkøbenhavn,,,https://studerendeonline.dk/job/3108384/nykredit/bliv-studentermedhjaelper-i-virksomhedsanalyse/,2026-08-31,,asap,2026-09-15,2026-09-15
studerendeonline,3108398,Studentermedhjælper til UI/UX-design og digitale kundeoplevelser,Gjensidige,Storkøbenhavn,,,https://studerendeonline.dk/job/3108398/gjensidige/studentermedhjaelper-til-uiux-design-og-digitale-kundeoplevelser/,2026-08-31,2026-09-24,date,2026-09-15,2026-09-15
studerendeonline,3108403,Studentermedhjælper med interesse for digital regulering,Digitaliseringsstyrelsen,Storkøbenhavn,,,https://studerendeonline.dk/job/3108403/digitaliseringsstyrelsen/studentermedhjaelper-med-interesse-for-digital-regulering/,2026-08-31,,,2026-09-15,2026-09-15
studerendeonline,3108555,Medlemskonsulent - Studiejob,CA a-kasse,Storkøbenhavn,,,https://studerendeonline.dk/job/3108555/ca-a-kasse/medlemskonsulent-studiejob/,2026-08-31,,asap,2026-09-15,2026-09-15
studerendeonline,3108598,Lægerne Under Elmene på Amagerbro søger 1-3 stud.med. (1.9.26 til 1.1.27),Studerendes Almen Medicinske Selskab (SAMS),Storkøbenhavn,,,https://studerendeonline.dk/job/3108598/studerendes-almen-medicinske-selskab-sams/laegerne-under-elmene-pa-amagerbro-soger-1-3-studmed-1926-til-1127/,2026-08-31,,asap,2026-09-15,2026-09-15
studerendeonline,3108656,Studentermedhjælper til Forsvarsministeriets Auditørkorps (Den militære anklagemyndighed) i Viborg,Forsvaret,Storkøbenhavn,,,https://studerendeonline.dk/job/3108656/forsvaret/studentermedhjaelper-til-forsvarsministeriets-auditorkorps-den-militaere-anklagemyndighed-i-viborg/,2026-08-31,,,2026-09-15,2026-09-15
studerendeonline,3108665,Student Software Engineer,SimCorp A/S,Storkøbenhavn,,,https://studerendeonline.dk/job/3108665/simcorp-as/student-software-engineer/,2026-08-31,,asap,2026-09-15,2026-09-15
studerendeonline,3108772,Statens Naturhistoriske Museum søger formidlingsværter,Københavns Universitet,"Storkøbenhavn, Øresundsregionen",,,https://studerendeonline.dk/job/3108772/kobenhavns-universitet/statens-naturhistoriske-museum-soger-formidlingsvaerter/,2026-09-01,2026-11-01,date,2026-09-15,2026-09-15
studerendeonline,3108831,Gamemaster hos Escape Copenhagen,Escape CPH – Escape Rooms,"Storkøbenhavn, Øresundsregionen",,,https://studerendeonline.dk/job/3108831/escape-cph-escape-rooms/gamemaster-hos-escape-copenhagen/,2026-09-15,2026-09-21,date,2026-09-15,2026-09-15
studerendeonline,3108834,Studentermedhjælper til udvikling og kvalitetssikring af voicebot i Københavns Borgerservice,Københavns Kommune,"Storkøbenhavn, Øresundsregionen",,,https://studerendeonline.dk/job/3108834/kobenhavns-kommune/studentermedhjaelper-til-udvikling-og-kvalitetssikring-af-voicebot-i-kobenhavns-borgerservice/,2026-09-01,,,2026-09-15,2026-09-15
studerendeonline,3108876,Studenterstilling i BUPL – Få erfaring med analyse og politisk interessevaretagelse,BUPL,"Storkøbenhavn, Øresundsregionen",,,https://studerendeonline.dk/job/3108876/bupl/studenterstilling-i-bupl-fa-erfaring-med-analyse-og-politisk-interessevaretagelse/,2026-09-01,2026-09-21,date,2026-09-15,2026-09-15
studerendeonline,3109102,Tre studentermedarbejdere til kommunikationsafdeling på Københavns Universitet,Københavns Universitet,"Storkøbenhavn, Øresundsregionen",,,https://studerendeonline.dk/job/3109102/kobenhavns-universitet/tre-studentermedarbejdere-til-kommunikationsafdeling-pa-kobenhavns-universitet/,2026-09-01,2026-09-20,date,2026-09-15,2026-09-15
studerendeonline,3109103,"Novo Nordisk Foundation Center for Stem Cell Medicine, reNEW is seeking an administrative student assistant",Københavns Universitet,"Storkøbenhavn, Øresundsregionen",,,https://studerendeonline.dk/job/3109103/kobenhavns-universitet/novo-nordisk-foundation-center-for-stem-cell-medicine-renew-is-seeking-an-administrative-student-assistant/,2026-09-01,,,2026-09-15,2026-09-15
studerendeonline,3109104,Studerende til Institut for Statskundskab,Københavns Universitet,Storkøbenhavn,,,https://studerendeonline.dk/job/3109104/kobenhavns-universitet/studerende-til-institut-for-statskundskab/,2026-09-01,,,2026-09-15,2026-09-15
studerendeonline,3109105,"Studentermedhjælper i Forskningsfinansiering Nørre, Campus Administration Nørre",Københavns Universitet,Storkøbenhavn,,,https://studerendeonline.dk/job/3109105/kobenhavns-universitet/studentermedhjaelper-i-forskningsfinansiering-norre-campus-administration-norre/,2026-09-01,2026-09-20,date,2026-09-15,2026-09-15
studerendeonline,3109154,Student Assistant - R&D,Radiometer Danmark / Danaher,"Storkøbenhavn, Øresundsregionen",,,https://studerendeonline.dk/job/3109154/radiometer-danmark-danaher/student-assistant-rd/,2026-09-01,,asap,2026-09-15,2026-09-15
studerendeonline,3109155,Student Assistant - R&D,Radiometer Danmark / Danaher,"Storkøbenhavn, Øresundsregionen",,,https://studerendeonline.dk/job/3109155/radiometer-danmark-danaher/student-assistant-rd/,2026-09-01,,asap,2026-09-15,2026-09-15
studerendeonline,3109232,Studentermedhjælpere til Centralt Sagscenter og anklagemyndigheden i Københavns Vestegns Politi,Rigspolitiet,"Storkøbenhavn, Øresundsregionen",,,https://studerendeonline.dk/job/3109232/rigspolitiet/studentermedhjaelpere-til-centralt-sagscenter-og-anklagemyndigheden-i-kobenhavns-vestegns-politi/,2026-09-15,,,2026-09-15,2026-09-15
studerendeonline,3109344,Student Assistant supporting AI Adoption at Novo Nordisk Engineering (Denmark - Virum),NNE A/S,Storkøbenhavn,,,https://studerendeonline.dk/job/3109344/nne-as/student-assistant-supporting-ai-adoption-at-novo-nordisk-engineering-denmark-virum/,2026-09-01,,,2026-09-15,2026-09-15
studerendeonline,3109357,Studentermedhjælper til Institut for Socialrådgiveruddannelse,Københavns Professionshøjskole,Storkøbenhavn,,,https://studerendeonline.dk/job/3109357/kobenhavns-professionshojskole/studentermedhjaelper-til-institut-for-socialradgiveruddannelse/,2026-09-01,2026-09-20,date,2026-09-15,2026-09-15
